Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,TA_restaurants_curated.Price Range
4 place du 18 Juin 1940,restaurant,85574,48.84388739967,2.3239669193648,Paris,Au Baroudeur,4bbced5fa8cf76b08327b1fd,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85574,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85574,$$ - $$$
4 place Martin Nadaud,restaurant,84340,48.865051424589,2.394840582211,Paris,Antalya,4b56e325f964a520361e28e3,0,Greek Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84340,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84340,$$ - $$$
4 rue Dombasle,restaurant,85770,48.836517865217,2.2966745770244,Paris,Kintaro,4bc98841b6c49c74ba978e91,0,Japanese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85770,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85770,$$ - $$$
40 rue de l'Annonciation,restaurant,88137,48.857358197262,2.2781272722285,Paris,Delizius,4dbae2e84df044e524bbe52a,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=88137,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88137,$$ - $$$
43 Rue de La Pompe,restaurant,91368,48.861631828146,2.2755761168825,Paris,Ciro,51c82578498ec423f1c4c3ec,0,Pizza Place,http://tour-pedia.org/api/getPlaceDetails?id=91368,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91368,$$ - $$$
45 Cour Saint-Émilion,restaurant,89868,48.833425873183,2.3869326641194,Paris,Boco,4fc22bbee4b0d6554aac2456,0,Snack Place,http://tour-pedia.org/api/getPlaceDetails?id=89868,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89868,$$ - $$$
46 rue Balard,restaurant,88060,48.8417903914,2.2776948888858,Paris,La Cantine,4da98c60f7b145b36ff94226,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=88060,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88060,$$ - $$$
5 avenue du Général Leclerc,restaurant,85600,48.833269229033,2.3315691947937,Paris,McDonald's,4bbf0c1298f495217800d263,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85600,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85600,$
5 Rue du Renard,restaurant,83254,48.857730533006,2.351621389389,Paris,McDonald's,4ac0ca73f964a5208c9420e3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=83254,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83254,$
5/7 Rue Gros,restaurant,85565,48.851540329444,2.2774372267829,Paris,Mini Festin,4bbc65cc51b89c741d56872a,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85565,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85565,$$ - $$$
50 Avenue des Champs-Élysées,restaurant,86018,48.870237,2.306755,Paris,Pomme de Pain,4bdac8dfc79cc92810af7fe9,0,Sandwich Place,http://tour-pedia.org/api/getPlaceDetails?id=86018,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86018,$
50 Rue du Faubourg Saint-Denis,restaurant,90298,48.871997931835,2.3539710044861,Paris,Paris New York,5058b747e0e2cafcc78bd3a9,0,Burger Joint,http://tour-pedia.org/api/getPlaceDetails?id=90298,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90298,$$ - $$$
53 Rue de Passy,restaurant,85931,48.857035233042,2.2796416282654,Paris,Starbucks,4bd40c46462cb713dbaedf07,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=85931,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85931,$$ - $$$
55 rue de Bagnolet,restaurant,89565,48.85717747094,2.3982441573047,Paris,Meli Mellow,4f55ff93e4b072b51dbbae19,0,Bagel Shop,http://tour-pedia.org/api/getPlaceDetails?id=89565,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89565,$
56 rue de Boulainvilliers,restaurant,87563,48.857602,2.274839,Paris,Kura,4d26249995e8f04d5e21404d,0,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87563,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87563,$$$$
57 avenue de Clichy,restaurant,83778,48.887636069705,2.3254845024937,Paris,McDonald's,4aedd208f964a52039cf21e3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=83778,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83778,$
58 rue Daguerre,restaurant,85066,48.8349701775,2.3269365201103,Paris,Zango,4b915e32f964a520c4b633e3,0,Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85066,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85066,$$ - $$$
61 Rue Jean-Pierre Timbaud,restaurant,89922,48.86714966044,2.3749673366547,Paris,Les Fabricants,4fcfbf937beb80b78e90afb2,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=89922,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89922,$
64 Rue Daguerre,restaurant,89443,48.835209656373,2.3264502513194,Paris,Corner Kitchen,4f298c5fe4b092dd9d9ed541,0,Bagel Shop,http://tour-pedia.org/api/getPlaceDetails?id=89443,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89443,$$ - $$$
67 Boulevard Davout,restaurant,86707,48.853318567428,2.4103510379791,Paris,McDonald's,4c423dfe5faf76b0d9a24820,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86707,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86707,$
67 Rue De Tocqueville,restaurant,89820,48.886383466332,2.3091660942283,Paris,Le Bistrot Tocqueville,4fb63065e4b039c1e74129d7,0,Diner,http://tour-pedia.org/api/getPlaceDetails?id=89820,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89820,$$ - $$$
"69, Av de la Porte d'Auteuil",restaurant,84723,48.847982,2.24290759,Paris,Le Pavillon des Princes,4b7455f0f964a52004d62de3,0,Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84723,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84723,$$$$
7 rue ds Fêtes,restaurant,90644,48.87601852417,2.3918859958649,Paris,Nakagawa,50cf0a7be4b0bc9a65f7c8e8,0,Japanese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=90644,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90644,$$ - $$$
7 rue Gustave Courbet,restaurant,84083,48.862151711076,2.2825408585978,Paris,Coffee Parisien,4b2fe481f964a52014f224e3,0,Burger Joint,http://tour-pedia.org/api/getPlaceDetails?id=84083,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84083,$$ - $$$
71 Avenue du Général Leclerc,restaurant,84577,48.82838895404,2.3276263475418,Paris,McDonald's,4b69d8d0f964a520ddb72be3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84577,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84577,$
7-17 Boulevard Victor,restaurant,85550,48.834185,2.284205,Paris,Osaka,4bbb55a7cf2fc9b6ea70a202,0,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85550,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85550,$$ - $$$
73 Avenue de Suffren,restaurant,83975,48.851058,2.300666,Paris,Le Suffren,4b1f65bcf964a520192624e3,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=83975,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83975,$$ - $$$
74 boulevard des Batignolles,restaurant,91231,48.882215166198,2.3200035095215,Paris,Gladines,51a70c28abd8f21f57fd99bb,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=91231,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91231,$
76 rue des Pyrénées,restaurant,87534,48.854021,2.405637,Paris,Sohna Punjab,4d19d7fb6c8b5481dc75fbcc,0,Indian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87534,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87534,$$ - $$$
"77, bd Brune",restaurant,87338,48.826184,2.312246,Paris,Tagawa,4ccf0155c0378cfa8b3d9748,0,Sushi Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87338,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87338,$$$$
78 Ave. Kléber,restaurant,87386,48.867091575068,2.2901721212598,Paris,Cojean,4ce1476f69136dcb3777e8e6,0,Salad Place,http://tour-pedia.org/api/getPlaceDetails?id=87386,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87386,$$ - $$$
79 Quai Panhard et Levassor,restaurant,85444,48.831191950601,2.3809963429071,Paris,Eric Kayser,4bb1d2b6f964a520d7a43ce3,0,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=85444,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85444,$$ - $$$
8 avenue Kleber,restaurant,90549,48.8722106,2.2937045,Paris,EXKi,50a4f15ce4b0755d9a497c9b,0,Vegetarian / Vegan Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=90549,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90549,$
8 rue de la Martinique,restaurant,87434,48.891174623955,2.3618442777812,Paris,New Locomotive,4cf253e86195721ebaec46c1,0,Vietnamese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87434,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87434,$
8 Rue De wattignies,restaurant,90153,48.836679,2.392884,Paris,Le Cambodge,50292aafe4b030d4ede07bef,0,Vietnamese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=90153,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90153,$
8 rue Monge,restaurant,85332,48.849213134519,2.3496736542346,Paris,Eric Kayser,4ba7b9c8f964a5206fad39e3,0,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=85332,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85332,$$ - $$$
82 Boulevard du Montparnasse,restaurant,86209,48.843223865046,2.32598161643,Paris,EXKi,4bee9f1e35dc0f473b02405b,0,Vegetarian / Vegan Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86209,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86209,$
83 Rue Saint-Charles,restaurant,90305,48.846812856082,2.2858428955078,Paris,Starbucks,505b2528e4b07c8ee3df17ed,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=90305,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90305,$$ - $$$
84 avenue d'Italie,restaurant,85956,48.825923916678,2.3571252822876,Paris,McDonald's,4bd6d30c5631c9b6a561a630,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85956,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85956,$
9 rue Decrès,restaurant,90543,48.83282430325,2.3148322105408,Paris,Bistrotters,50a3836fe4b08f00ef2d3f44,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=90543,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90543,$$ - $$$
9 rue Vasco de Gama,restaurant,86309,48.837712376217,2.2822964857249,Paris,Totoo,4bf97f755efe2d7fe3556c34,0,Japanese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86309,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86309,$$ - $$$
90 Rue Saint-Dominique,restaurant,88365,48.859491681071,2.3057878017426,Paris,Starbucks,4df1f8e13151247c51af4f21,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=88365,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88365,$$ - $$$
91 avenue Raymond Poincaré,restaurant,84144,48.87026,2.285176,Paris,Fuxia,4b41ce4bf964a5200dc925e3,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84144,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84144,$$ - $$$
92 cours de vincennes,restaurant,89888,48.847283614931,2.4078949242667,Paris,Sushi Star,4fc65b34e4b0c52bfc62a871,0,Japanese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=89888,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89888,$
93 Rue de Tolbiac,restaurant,86930,48.827042418986,2.366549681192,Paris,McDonald's,4c796ba693ef236a9f89af0f,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86930,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86930,$
93 rue Manin,restaurant,88809,48.883058671416,2.3856921840956,Paris,McDonald's,4e676e8eb9939a72b2ff1868,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=88809,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88809,$
96-100 rue d'Avron,restaurant,85257,48.852751,2.40607,Paris,Le Boucl'art,4ba11bc7f964a520959837e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=85257,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85257,$
Aquaboulevard,restaurant,85831,48.831305875984,2.276326417923,Paris,McDonald's,4bcd81f6b6c49c744b6d9591,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85831,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85831,$
Avenue Daumesnil,restaurant,91547,48.836771,2.403401,Paris,Sakura,5217a27a11d2ce24f7a6b77a,0,Sushi Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=91547,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91547,$$ - $$$
Avenue des gobelins,restaurant,85611,48.833195131931,2.3543617286397,Paris,L'Entracte,4bbf745a85fbb713223a7267,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85611,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85611,$$ - $$$
Avenue Secrétan,restaurant,91251,48.882194040945,2.370231086534,Paris,Subway,51ab9080498ec0f9feb0ccf6,0,Sandwich Place,http://tour-pedia.org/api/getPlaceDetails?id=91251,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91251,$
Bercy Village,restaurant,87295,48.832831365595,2.3865222930908,Paris,Chez Bruno,4cc1fa16d43ba1437b3a55f8,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87295,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87295,$$ - $$$
C.C Beaugrenelle,restaurant,84129,48.846975244404,2.2849631309509,Paris,McDonald's,4b3f4a7ff964a52045a525e3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84129,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84129,$
C.C Maine Montparnasse,restaurant,87003,48.842406989336,2.3217844963074,Paris,Pizza del Arte,4c8646292f1c236aa2865b43,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87003,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87003,$$ - $$$
C.C Saint-Lazare,restaurant,89781,48.876245958139,2.3259043693542,Paris,Starbucks,4fa3b236e4b0d6f4bb55d587,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=89781,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89781,$$ - $$$
C.C Saint-Lazare Paris,restaurant,86756,48.876362,2.326756,Paris,Starbucks,4c4c54935609c9b6ec0f6092,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=86756,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86756,$$ - $$$
Club des Loges - Roland Garros,restaurant,91265,48.847669,2.24713,Paris,La Terrasse,51af2dc2498e5c62a4c83e5f,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=91265,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91265,$$ - $$$
Cour Saint-Émilion,restaurant,91208,48.832870692572,2.3864484790935,Paris,Nicolas,51a1fb7f498ef989fe7a43e5,0,Wine Bar,http://tour-pedia.org/api/getPlaceDetails?id=91208,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91208,$$ - $$$
Gare de Paris-Lyon,restaurant,90332,48.84468057795,2.3733901977539,Paris,Starbucks,50641617830238fd7713c687,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=90332,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90332,$$ - $$$
Gare de Paris-Montparnasse,restaurant,84764,48.841312523234,2.3190486431122,Paris,Quick,4b77e909f964a5206cae2ee3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84764,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84764,$
Gare de Paris-Nord,restaurant,87423,48.881490110869,2.3547786038068,Paris,Paul,4cef8c1f62ef6dcb89cdfe59,0,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=87423,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87423,$$ - $$$
Jardin d'acclimatation,restaurant,88378,48.878602,2.26642,Paris,Angelina,4df4deb4483bdb5e1378ffed,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=88378,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88378,$$ - $$$
Palais des Congres,restaurant,85002,48.879861899536,2.2844899741973,Paris,Angelina,4b8bdd91f964a52060af32e3,0,Tea Room,http://tour-pedia.org/api/getPlaceDetails?id=85002,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85002,$$ - $$$
Palais des Congrès,restaurant,87640,48.878980729612,2.2831961889479,Paris,Paul,4d3fd0351bd2a1438d9bec7c,0,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=87640,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87640,$$ - $$$
Parc de la Villette,restaurant,85779,48.895194760471,2.3855098628663,Paris,Quick,4bc9df0868f976b0d2005e83,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85779,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85779,$
Passage du Havre,restaurant,85548,48.875289830853,2.3272293806076,Paris,Starbucks,4bbb3e25cf2fc9b6c453a202,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=85548,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85548,$$ - $$$
Picpus,restaurant,84910,48.844892987095,2.4028378363599,Paris,Da Pippo,4b827bdcf964a520dbd430e3,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84910,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84910,$$ - $$$
Place Albert Kahn,restaurant,86920,48.895848684597,2.3462398387022,Paris,McDonald's,4c77f6cf566db60c6efb3f0e,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86920,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86920,$
Place de la Porte de Bagnolet,restaurant,86657,48.864478254917,2.4085299597069,Paris,McDonald's,4c37591218e72d7ffb5816f5,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86657,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86657,$
Place Gambetta,restaurant,84668,48.864901,2.398311,Paris,McDonald's,4b705af5f964a520e0142de3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84668,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84668,$
Port de la Gare,restaurant,83454,48.834462663329,2.3775989069243,Paris,La Dame de Canton,4adcda08f964a520c73321e3,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=83454,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83454,$$ - $$$
Porte de Clignancourt,restaurant,85192,48.897482652957,2.3445765728648,Paris,McDonald's,4b9c0a2af964a520be4336e3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85192,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85192,$
Porte des Lilas,restaurant,87076,48.87729026817,2.4068105220795,Paris,McDonald's,4c94aa0ff244b1f795e7231d,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87076,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87076,$
Porte Dorée,restaurant,84168,48.83554323244,2.4063062667847,Paris,Quick,4b4641a4f964a520b11b26e3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84168,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84168,$
Quai transversal - Face aux voies 20/21,restaurant,91620,48.87701508048,2.3595929145813,Paris,Starbucks,522c6f1611d277f9f0f6fd2d,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=91620,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91620,$$ - $$$
Rue de Ballu,restaurant,85111,48.88224,2.329006,Paris,Le coin de rues,4b96392df964a5204bc134e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=85111,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85111,$$ - $$$
Rue de belleville,restaurant,86713,48.872963,2.380189,Paris,Santa Lucia,4c435af4dd1f2d7fa45e7ef9,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86713,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86713,$
Rue de belleville,restaurant,89196,48.87543101354,2.3908289681315,Paris,Subway,4ecf7b6129c223f927b869a0,0,Sandwich Place,http://tour-pedia.org/api/getPlaceDetails?id=89196,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89196,$
Rue de Rome,restaurant,88618,48.887108706238,2.3148004442378,Paris,Turkuaz,4e3923a97d8b6bed20ab06f9,0,Greek Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=88618,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88618,$$ - $$$
Rue Malte Brun,restaurant,85022,48.864404215487,2.3983240127563,Paris,Chez Betty,4b8d5f5bf964a520c8f732e3,0,Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85022,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85022,$$ - $$$
Rue Marsoulan,restaurant,89564,48.845242,2.402821,Paris,Nonna Rita,4f5537c1e4b01f7ad29ec035,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=89564,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89564,$$ - $$$
Rue Poussin,restaurant,87009,48.848418017978,2.2610750992776,Paris,Solemar,4c86978ad4e23704cba08c88,0,Middle Eastern Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87009,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87009,$$ - $$$
